FedRoutingNR,Telegraphic Name,Customer Name,State,City,Eligible,Status,Last Change
011701084,PEOPLES LITTLETON,CONNECTICUT RIVER BANK  N.A.,NH,LITTLETON,N,N,20120103
011701107,PASSUMPSIC SVGS BK,PASSUMPSIC SAVINGS BANK,NH,LANCASTER,N,N,20160324
011701288,NORTHWAY BANK,NORTHWAY BANK,NH,PLYMOUTH,Y,Y,20141107
011701314,GRANITE BANK,GRANITE BANK,NH,COLEBROOK,Y,Y,20150324
011701398,FIRST TILTON,WASHINGTON MUTUAL BANK,NH,CONCORD,N,N,20090727
011701424,MASCOMA LEBANON,MASCOMA SAVINGS BANK,NH,LEBANON,N,N,20141208
011701660,NEW LONDON TR NH,LAKE SUNAPEE BANK FSB,NH,NEW LONDON,N,N,20150415
011701903,BANK OF NEW HAMP,BANK OF NEW HAMPSHIRE,NH,LACONIA,N,N,20160509
011802488,PEOPLES BANK,PEOPLE'S UNITED BANK  NA,CT,BRIDGEPORT,Y,N,20150220
011805388,ADAMS COMM BK,ADAMS COMMUNITY BANK,MA,ADAMS,N,N,20151201
011807043,FIRST NIAGARA,KEYBANK NATIONAL ASSOICATION,NY,BUFFALO,N,N,20161230
011910697,BERKSHIRE BANK,BERKSHIRE BANK,CT,HARTFORD,Y,N,20121218
011975221,TCF HARTFORD,TCF NATIONAL BANK,CT,HARTFORD,Y,N,20120601
021000018,BK OF NYC,THE BANK OF NEW YORK MELLON,NY,NEW YORK,Y,Y,20080701
021000021,JPMCHASE,JPMORGAN CHASE BANK  NA,NY,NEW YORK,Y,Y,20041112
021000089,CITIBANK NYC,CITIBANK  N.A.,NY,NEW YORK,Y,Y,20120622
021000238,JPMCHASE,JPMORGAN CHASE BANK,NY,NEW YORK,N,N,20030721
021001033,DBTCO AMERICAS NYC,DEUTSCHE BANK TRUST CO. AMERICAS,NY,NEW YORK,Y,Y,20020909
021001088,HSBC USA,HSBC BANK USA  NA,NY,BUFFALO,Y,Y,20120620
021001318,US TR NYC,UNITED STATES TRUST COMPANY  N.A.,NY,NEW YORK,N,N,20080717
021001486,EURO AMER NYC,CITIBANK  N.A.,NY,NEW YORK,Y,N,20141107
021004823,REPUBLIC NYC,HSBC BANK USA  NA,NY,NEW YORK,Y,N,20141107
021030004,TREAS NYC,TREAS NYC/FUNDS TRANSFER DIVISION,DC,WASHINGTON,Y,N,20150828
021030017,TREAS COM DEP,TREAS NYC/COMMERCIAL BANK DEPOSITS,NY,NEW YORK,N,N,20130509
021030033,TREAS PHIL FIN CTR,TREAS PHIL FIN CTR/FUNDS TRANS DIV,NY,NEW YORK,N,N,20120620
021030046,TREAS SF FIN CTR,TREAS SF FIN CTR/FUNDS TRANSFER DIV,NY,NEW YORK,N,N,20120620
021031003,FHLBB WASHS,FHLB- GENERAL ACCOUNT,VA,RESTON,Y,Y,20140411
021033205,FHLMC WASHS,FED. HOME LOAN MORT. GENERAL ACCOUNT,VA,MCLEAN,Y,Y,20140411
021033409,FCA NYCS,FARM CREDIT BANK-GENERAL ACCT,NJ,JERSEY CITY,Y,Y,20140411
021033412,BANK COOP NYC,FARM CREDIT - BANK FOR CO-OPS,,,N,N,20141107
021033425,FICB NYC,FARM CREDIT - FED. INT. CREDIT BKS,,,N,N,20141107
021033519,FICO P&I,FINANCING CORP. P & I ACCOUNT,VA,RESTON,Y,Y,20160331
021036008,TGA MASTER,TGA MASTER,DC,WASHINGTON,N,Y,20160526
021036011,US TREAS P&I,TREAS SECURITIES P&I,NY,NEW YORK,Y,Y,20160526
021038200,FARM CREDIT P&I,FEDERAL FARM-CON.SYSTEM BDS,NJ,JERSEY CITY,Y,Y,20160331
021038857,REFCORP,RESOLUTION FUNDING CORP. GENERAL,VA,RESTON,Y,Y,20160331
021038886,CHIPS SECURITIES,CHIPS SECURITIES ACCOUNT,NY,NEW YORK,N,N,20010205
021039513,FHLMC INVESTOR PI,FEDERAL HOME LOAN MTG. INVESTOR PI,VA,MCLEAN,Y,Y,20080918
021039526,FREDDIE MAC MBS PI,FHL MORTG. PC ISSUE - P & I,VA,MCLEAN,Y,Y,20160331
021050165,FARMER MAC PI,FEDERAL AGRICULT'RL MORTG.CORP.(P&I),DC,WASHINGTON,Y,Y,20160331
021051180,CHIPS,CHIPS ACCOUNT,NY,NEW YORK,Y,N,20031021
